 SST_table_2 cdom443_BL1_3 MLD_table_2
1493 21.4499995205551 0.00241763 26.4215827968256
1665 24.509999452158798 0.0029936 44.688727340918796
3316 9.91999977827072 0.0156987 38.8488417751979
3361 21.759999513626102 0.00185448 20.7608740371617
1594 25.0699994396418 0.00378552 14.649530051226499
2057 28.7299993578345 0.00614472 49.2675435261005
3338 20.999999530613398 0.000762494 18.2373608448463
1567 25.4799994304776 0.00393307 21.2081389043834
1647 23.4299994762987 0.00362657 17.8095387681524
3385 22.4699994977564 0.00145243 24.114449299520697
2240 27.2599993906915 0.00327943 39.0238909181293
1456 16.8699996229261 0.025384099999999996 51.83359395468
2931 2.4899999443441603 0.00722086 71.75701729130479
2604 21.869999511167396 0.0031756999999999996 27.482152314081002
2556 26.249999413266806 0.006765600000000001 19.5494364821398
3213 25.6199994273484 0.003764500000000001 58.12686752799271
3014 22.139999505132398 0.00326241 50.4617094274146
1461 16.349999634549 0.028127299999999997 55.525770166532794
1471 21.189999526366602 0.00523667 64.97644427816671
2233 26.689999403432 0.00249338 36.7675352214459
2934 2.77999993786216 0.00434402 89.25822523350479
3707 26.689999403432 0.00179627 53.324681885194906
3456 21.349999522790306 0.00287324 42.1574264018516
2436 27.7899993788451 0.00904162 14.1219820863713
3705 27.299999389797396 0.00148836 39.0238909181293
2833 23.099999483674804 0.00169694 10.456444873303699
2043 28.3399993665516 0.00189041 49.87289062145639
3003 24.3999994546175 0.00578974 42.8454556339645
3209 22.8499994892627 0.0025373 46.131468079219
2109 19.159999571740602 0.00453341 76.4349812131825
3326 19.0599995739758 0.00235501 24.3361751881325
1794 26.0099994186312 0.00155724 21.7588679294755
1427 20.8099995348603 0.0018399999999999998 62.979819492571295
2638 21.7399995140731 0.0114028 26.6307918140239
4098 19.179999571293603 0.00627502 53.11708258406429
2781 28.3999993652105 0.00654578 28.6892409845471
4107 19.6199995614588 0.0081852 17.8753022039601
1577 24.649999449029607 0.00250949 15.1785166199104
2998 23.9899994637817 0.0038010999999999995 26.214342171838002
1947 29.709999335929798 0.000786622 37.846533873974295
1786 26.8299994003028 0.00126826 16.2326656498065
1944 29.839999333024 0.0007392760000000001 34.4918548804214
4094 19.9199995547533 0.00655322 18.868567743427
3206 26.959999397397 0.0036139 39.0238909181293
3386 22.2499995026737 0.0038891999999999998 20.4601999882154
3044 20.409999543801 0.0030524000000000003 49.96121239606399
976 8.619999807327991 0.0242788 18.746957686151198
3000 24.6699994485825 0.00390663 42.397786790370496
3302 19.659999560564803 0.00383056 23.317012949310197
2996 24.679999448359 0.00447163 38.4279391938504
2158 1.5499999653548 0.015516899999999997 52.9296951075725
1625 21.759999513626102 0.00295339 11.365354940552402
2748 28.3699993658811 0.00357016 36.4554269883307
